paper,doi,canonical,paper_term,relevance
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,finger width,≈190 μm,0.8
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,thermal stress management,minimized thermal stress on temperature-sensitive layers,0.8
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,finger height,≈20 μm,0.78
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,heating mechanism,"rapid, localized heating",0.78
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,finger aspect ratio,≈0.1–0.15,0.77
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,process atmosphere,inert atmospheric conditions,0.76
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,reference metallization material,silver (Ag),0.75
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,electrode material cost,lower cost and greater abundance of Cu vs. Ag,0.74
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,electrical characterization,electrical properties characterization,0.72
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,microstructural characterization,microstructural and elemental characterization,0.7
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,film thickness,≈20 μm finger height,0.68
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,compatible cell technology,tandem devices,0.65
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,solar cell architecture,heterojunction (HJT) solar cells,1.0
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,metallization material,copper-based paste,1.0
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,conductive paste,copper-based paste,0.97
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,incumbent metallization material,silver,0.95
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,metallization method,screen printing (SP),0.95
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,alternative metallization,alternative metallization materials,0.92
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,resource availability,silver consumption,0.9
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,critical raw material,silver,0.9
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,paste characterisation,paste characterisation,0.88
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,frontside metallization,screen printing on HJT solar cells,0.88
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,photovoltaic technology,Photovoltaic applications (PV),0.85
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,device evaluation,solar cell evaluation,0.85
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,material scarcity,not enough silver available,0.85
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,module interconnection,interconnection,0.8
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,reliability testing,reliability testing,0.8
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,competing cell technology,HJT,0.78
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,cell performance metric,solar cell evaluation,0.78
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,reference cell technology,PERC solar cells,0.75
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,cell concept development,alternative solar cells concepts,0.75
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,alternative cell technology,TOPCon,0.72
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,supply forecast horizon,forecasts for 2050,0.7
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,pv expansion,PV expansions,0.68
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,environmental impact,greener and environmentally friendly,0.6
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,technology adoption,widespread adoption,0.55
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,pv research focus,constant efforts by PV research,0.5
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,cell architecture,Zebra IBC cell,1.0
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,metallization material,copper (Cu) based metallization paste,1.0
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,metallization feature,busbars,0.95
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,bulk contamination,silicon bulk contamination by Cu diffusion,0.95
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,cell type,interdigitated back contact (IBC),0.95
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,reliability test,climate chamber tests,0.93
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,paste adhesion,insufficient adhesion on substrate surface,0.93
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,reference metallization,silver (Ag) based metallization paste,0.92
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,impurity diffusion,Cu diffusing from cell surface,0.92
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,contamination risk,Cu contamination of silicon bulk,0.92
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,device efficiency,same efficiencies as Ag metallized reference cells,0.9
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,thermal cycling test,"TC600 (temperature cycling, 600 cycles)",0.9
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,damp heat test,"DH3000 (damp heat, 3000 hours)",0.9
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,line resistance,line resistance,0.88
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,adhesion measurement,peel force tests,0.88
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,performance comparison,Cu vs. Ag busbar efficiency comparison,0.88
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,degradation mechanism,temperature cycling induced adhesion failure,0.87
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,semiconductor polarity,n-type,0.85
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,metallization cost reduction,Cu replacing Ag metallization,0.85
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,paste curing temperature,low temperature curable,0.82
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,contact resistivity,line resistance of Cu busbars,0.8
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,absorber material,silicon bulk,0.78
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,test duration,DH3000 (3000 hours),0.78
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,metallization paste form,paste,0.75
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,substrate surface,substrate surface,0.72
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode material,copper (Cu),1.0
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization method,laser-induced selective metallization (LISM),1.0
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode resistivity,1.98 × 10⁻⁵ Ω·cm,0.97
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,cell architecture,heterojunction solar cells,0.95
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode conductivity,high conductivity,0.93
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,transparent conductive oxide,Indium Tin Oxide (ITO),0.92
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,laser parameters,optimal laser parameters,0.91
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization selectivity,selective metallization,0.91
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode geometry,copper grid electrodes,0.9
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization mechanism,mechanism of laser selective metallization,0.9
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization surface,Indium Tin Oxide surfaces,0.89
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,substrate material,silicon wafer,0.88
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,process window,process window for laser parameters,0.88
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrical properties,electrical properties of electrodes,0.88
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode morphology,morphological characteristics of copper electrodes,0.87
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode performance,high-performance electrodes,0.86
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,replaced material,silver (Ag),0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,fabrication cost,low cost / cost-effective,0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,material cost reduction,significant reductions in material costs,0.83
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,process scalability,large-scale copper electrodes,0.82
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode composition,composition of copper electrodes,0.82
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,degradation mechanism,oxidation of copper,0.8
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,cell production process,solar electrode production,0.8
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode material susceptibility,susceptibility of Cu to oxidation,0.79
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode geometry sizing,size of copper electrodes,0.78
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,metallization technique,indirect gravure printing,1.0
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,cell technology,silicon heterojunction (SHJ) solar cells,0.95
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,device efficiency loss,(1.7 ± 0.5) %abs lower photoconversion efficiency,0.92
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,tandem cell architecture,perovskite Si tandem solar cells,0.9
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,photoconversion efficiency,mean photoconversion efficiency,0.9
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,process throughput,cycle time of 0.9 s cell⁻¹,0.88
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,rear contact efficiency loss,0.1 %abs efficiency loss,0.88
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,front grid design,busbarless gravure-printed front grids,0.88
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,contact shading width,(65 ± 16) μm mean shading width,0.87
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,printing platform,rotary printing technique,0.87
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,absorber material,silicon (Si),0.85
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,printing method comparison,screen-printed reference samples,0.85
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,contact finger height,(5 ± 1) μm average height,0.85
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,rear contact metallization,SHJ solar cells' rear metallization,0.85
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,process temperature,low-temperature applications,0.83
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,metal contact properties,metal contacts (shading width and height),0.83
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,minimum cycle time,0.5 s cell⁻¹,0.82
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,production cost reduction,reduce costs significantly in PV production,0.82
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,cell geometry,SHJ half cells,0.8
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,photovoltaic application,silicon photovoltaics (PV),0.8
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,wafer size,industrial wafers (edge length 156.75 mm),0.78
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,device simulation,device simulations,0.78
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,electrode busbar design,busbarless,0.76
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,tool durability,gravure cylinders with almost no wearing,0.75
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,contact geometry optimization,non-optimized gravure-printed front grids,0.72
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,printing method,FlexTrail printing,1.0
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,metallization technique,direct metallization,0.95
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,cell architecture,silicon heterojunction (SHJ) solar cells,0.95
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,electrode material,silver-nanoparticle-based front electrodes,0.93
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,grid design,busbarless front grid,0.92
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,silver consumption,(9.4 ± 0.9) mg of silver,0.9
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,silver reduction,more than 60% silver reduction,0.9
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,device efficiency,(22.87 ± 0.01)%,0.9
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,front grid geometry,busbarless front grid,0.88
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,electrode metal species,silver nanoparticles,0.88
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,feature size,10 μm and below,0.85
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,contact finger count,80 contact fingers,0.83
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,interconnection technology,SmartWire Connection Technology,0.82
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,module power output,(5.0 ± 0.1) W,0.82
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,wafer size,M2+ wafer size,0.8
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,reference metallization,screen printing,0.8
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,finger length,156 mm,0.78
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,module size,200 mm × 200 mm,0.78
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,fluid viscosity independence,highly independent of the fluids' viscosity,0.75
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,module configuration,one-cell module,0.75
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,ink type,particle-based metal-containing fluids,0.73
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,scalability,practicability of FlexTrail metallization beyond cell level,0.72
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,absorber material,silicon,0.7
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,ink type,liquid-phase pyrophoric media,0.62
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,ink type,etchants,0.6
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,solar cell architecture,silicon heterojunction solar cell (SHJ SC),1.0
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact metallization material,copper (Cu),1.0
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact grid structure,Cu contact grid (mesh),0.98
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact formation method,electroplating,0.97
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,patterning technique,inkjet printing,0.96
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,device efficiency,22.9%,0.95
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact adhesion strength,3–5 N/mm,0.93
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference metallization method,screen printing,0.92
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference contact material,silver (Ag) paste,0.92
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cost reduction strategy,alternative to expensive Ag-containing pastes,0.91
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cell configuration,double-sided SHJ SC,0.9
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,adhesion improvement,sufficient adhesion to SHJ SC surface,0.9
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,metallization comparison,comparative analysis of contact grid formation methods,0.89
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference device efficiency,22.6%,0.88
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,dielectric mask material,organic polymer,0.88
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,bifacial design,double-sided (bifacial) SHJ SC,0.88
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference adhesion strength,1.5–2 N/mm,0.87
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,buffer layer,thin buffer metal layers,0.87
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,electroplating seed layer,buffer metal layers for Cu growth,0.86
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,mask function,protective dielectric mask,0.85
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,paste composition,silver-containing (Ag) pastes,0.84
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,substrate material,silicon,0.82
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cell size,157 × 157 mm²,0.8
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact grid geometry,required shape contact grid,0.75
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cell surface treatment,surface of SHJ SC,0.7
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,metallization material,copper (Cu) paste,1.0
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,replaced metal,silver (Ag),0.95
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,cell architecture,interdigitated back contact (IBC),0.95
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,metallization method,screen printing,0.9
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,device efficiency,average efficiency of 23%,0.9
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,silver consumption,4.5 mg W⁻¹ Ag usage,0.88
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,electrode structure,busbars and fingers,0.85
